5,470,0,0
480,16,5,0
20,15,119,15
20,15,199,15
20,15,279,15
20,15,359,15
4,450,475,15
10,50,21,28
10,50,80,28
60,12,21,66
9,9,35,132
19,19,55,125
9,9,85,132
136,143,5,160
282,143,195,160
20,15,5,303
20,15,37,303
20,15,69,303
20,15,101,303
20,15,213,303
20,15,245,303
20,15,278,303
20,15,310,303
10,10,18,340
10,10,34,340
10,10,50,340
10,10,67,340
10,10,82,340
10,10,98,340
10,10,18,450
10,10,34,450
10,10,50,450
10,10,67,450
10,10,82,450
10,10,98,450
30,16,256,335
30,16,256,383
30,16,256,431
16,28,352,325
16,28,385,325
16,28,417,325
16,28,449,325
16,28,352,373
16,28,385,373
16,28,417,373
16,28,449,373
16,28,352,421
16,28,385,421
16,28,417,421
16,28,449,421
475,10,5,465
410,10,520,0
5,80,520,10
5,950,930,10
20,5,520,82
5,20,538,85
17,5,543,97
5,17,555,102
17,5,560,110
5,17,571,115
28,5,575,130
5,17,604,135
15,5,609,145
5,18,620,150
25,5,625,160
5,17,650,165
58,5,655,178
5,65,713,183
5,68,770,180
-15,5,715,248
5,10,700,253
20,5,685,263
15,129,685,268
175,5,510,397
5,70,510,398
420,5,515,466
155,5,775,247
155,5,775,180
65,30,535,30
100,40,825,22
30,40,650,69
930,40,0,570
930,40,0,930
35,18,125,653
15,10,145,643
35,18,415,637
15,10,430,625
33,18,50,859
15,10,64,849
60,35,305,750
35,65,320,737
33,18,400,892
15,10,415,880
33,18,530,748
15,10,545,739
33,18,800,690
15,10,800,709
33,18,800,781
15,10,800,770
10,970,0,0
